TimeStamp,SpotPrice,InstanceType,OS type,AvailabilityZone
2014-04-10 22:23:35,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:26:51,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:30:09,0.1338,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:33:25,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:36:42,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:43:17,0.1395,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:49:48,0.1458,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:53:04,0.1395,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:56:22,0.1458,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:02:54,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:06:11,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:09:29,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:35:34,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:38:48,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:42:03,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:45:18,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:55:03,0.1395,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 23:58:19,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 00:01:38,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 00:04:53,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 00:08:11,0.1395,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 00:17:55,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 00:44:00,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 00:47:18,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 00:53:50,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 00:57:04,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 01:03:35,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 01:06:52,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 01:10:07,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 01:13:22,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 01:19:53,0.1395,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 01:23:09,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 01:29:38,0.1458,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 01:32:55,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:08:49,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:12:05,0.1395,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:18:35,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:25:06,0.142,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:28:21,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:31:36,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:34:53,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:54:25,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 02:57:40,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:10:40,0.1364,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:13:56,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:17:11,0.142,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:20:27,0.1353,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:23:41,0.1377,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:30:12,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:36:42,0.1324,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:39:59,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:43:16,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:46:32,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:49:46,0.1353,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:53:02,0.1338,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:56:17,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 03:59:31,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:02:47,0.1324,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:06:03,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:09:19,0.1338,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:15:51,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:19:08,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:25:41,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:28:58,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:32:12,0.1338,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:38:44,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:41:59,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:45:17,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:48:33,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:51:50,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 04:58:21,0.1324,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:01:35,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:08:05,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:11:20,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:21:05,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:24:22,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:37:25,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:40:40,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:43:55,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:47:10,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:50:25,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 05:56:52,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:00:08,0.1324,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:03:24,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:06:39,0.132,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:09:54,0.1317,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:13:10,0.1312,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:19:41,0.1317,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:22:57,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:26:13,0.1353,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:29:29,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:32:45,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 06:36:00,0.1281,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 18:39:44,0.1286,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 18:46:22,0.1287,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 18:49:41,0.1286,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 18:53:01,0.1285,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 18:59:40,0.1284,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:03:00,0.1286,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:06:19,0.1285,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:09:38,0.1284,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:16:21,0.1286,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:19:41,0.1287,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:23:01,0.1286,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:26:22,0.1288,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:29:42,0.1287,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:33:02,0.1283,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 19:53:03,0.1281,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 20:46:28,0.1287,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 20:49:48,0.1286,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-11 20:53:06,0.1284,c3.4xlarge,Linux/UNIX,us-west-1a
