,AvailabilityZone,InstanceType,Max,Mean,Median,Min,STD,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
41,ap-southeast-2c,c3.8xlarge,13.398666666666669,0.8787083362390691,0.8030428571428574,0.37345,0.8402449548799656,2.117,1.331,1.568,1.358,1.198,1.411,1.222,0.897,0.9540000000000001
42,eu-central-1a,c3.8xlarge,1.7546499999999994,0.7988079087671252,0.45294999999999996,0.4444,0.5515486489611164,2.064,1.33,1.536,1.357,1.197,1.382,1.2209999999999999,0.8909999999999999,0.9470000000000001
43,eu-central-1b,c3.8xlarge,1.699442857142857,0.4951319840398606,0.41111512605042017,0.37164444444444444,0.18867012224131052,2.064,1.33,1.536,1.357,1.197,1.382,1.2209999999999999,0.8909999999999999,0.9470000000000001
44,eu-west-1a,c3.8xlarge,30.08,1.6084651062927875,0.7812476950998185,0.3819029411764707,4.052931947722476,1.912,1.2309999999999999,1.44,1.256,1.1079999999999999,1.296,1.131,0.825,0.877
45,eu-west-1b,c3.8xlarge,16.1149,1.0037599512496451,0.7511101431788934,0.38595652173913053,1.1576754371040916,1.912,1.2309999999999999,1.44,1.256,1.1079999999999999,1.296,1.131,0.825,0.877
46,eu-west-1c,c3.8xlarge,30.08,1.0846916320733238,0.7527063571428569,0.3836833333333334,1.6349606664916525,1.912,1.2309999999999999,1.44,1.256,1.1079999999999999,1.296,1.131,0.825,0.877
47,us-east-1a,c3.8xlarge,12.2,1.1265325489066385,0.7226213997282649,0.3510369426751592,1.3112582358464768,1.68,0.992,1.168,1.012,0.893,1.051,0.9109999999999999,0.628,0.6679999999999999
48,us-east-1c,c3.8xlarge,16.85,1.0363338354294371,0.6582631019791834,0.3504557077625572,1.1410497177890644,1.68,0.992,1.168,1.012,0.893,1.051,0.9109999999999999,0.628,0.6679999999999999
49,us-east-1d,c3.8xlarge,16.8725,0.9626218953765473,0.6341483759596132,0.33680980392156895,0.9984796275071289,1.68,0.992,1.168,1.012,0.893,1.051,0.9109999999999999,0.628,0.6679999999999999
50,us-west-1b,c3.8xlarge,1.6312249999999997,0.49945819569878647,0.47684820675105477,0.3077857142857142,0.178297107712667,1.912,1.2309999999999999,1.44,1.256,1.1079999999999999,1.296,1.131,0.825,0.877
51,us-west-1c,c3.8xlarge,0.9583047999999998,0.4902901583502341,0.47752951581027675,0.31004,0.16347002786334164,1.912,1.2309999999999999,1.44,1.256,1.1079999999999999,1.296,1.131,0.825,0.877
52,us-west-2a,c3.8xlarge,1.3939857288135575,0.6183283540762691,0.6256356343283582,0.37428857142857147,0.14804700465300058,1.68,0.992,1.168,1.012,0.893,1.051,0.9109999999999999,0.628,0.6679999999999999
53,us-west-2b,c3.8xlarge,1.3419353303964758,0.6713114207429719,0.6578076790450929,0.36003863636363653,0.13598716668546695,1.68,0.992,1.168,1.012,0.893,1.051,0.9109999999999999,0.628,0.6679999999999999
